Time recorded,Class Name,Book name,price,Time Sold,,,,,,,,,,,,,,
5/10/2017 20:10,SPN 0021/22,The Ultimate Spanish Review and Practice,10,,,,,,,,,,,,,,,
5/6/2017 12:14,FR 0003,The Ultimate French Review and Practice,18,,,,,,,,,,,,,,,
9/4/2017,CD 0001,Child Development,50,,,,,,,,,,,,,,,
5/5/2017 19:16,PS 0041,The Prince,$5 ,,,,,,,,,,,,,,,
5/5/2017 19:17,PS 0041,Aristotle's Politics,$5 ,,,,,,,,,,,,,,,
5/5/2017 19:20,PS 0041,The Republic of Plato,$5 ,,,,,,,,,,,,,,,
5/9/2017 18:50,PSY 101,Psychological Science,45,9/4/2017,,,,,,,,,,,,,,
5/8/2017 10:44,ARCH 0026,Historical Atlas of Ancient Civilizations,$7.00 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:30,ARCH 0026,Myths from Mesopotamia,$10 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 10:43,ARCH 0026,The Literature of Ancient Egypt,$12.00 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 12:35,MATH 0032/34,Students Solutions Manual ,$15 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 10:45,ARCH 0026,The Art of Ancient Egypt,$10.00 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 14:39,SPN 0021/22,The Ultimate Spanish Review and Practice,$7 ,9/4/2017,,,,,,,,,,,,,,
5/1/2017 16:41,MATH 0042,"Student's Solutions Manual (Multivariable Calculus - Briggs, Cochran)",$20 ,9/4/2017,,,,,,,,,,,,,,
5/7/2017 12:45,SPN 0022,Vistas y voces latinas ,5,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:02,MATH 0042,Multivariable Calculus,50,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:35,MUS 0101/102,Strategies and Patterns for Ear Training,20,9/4/2017,,,,,,,,,,,,,,
5/9/2017 14:18,ASTRO 0010,"Sun, Earth, and Sky",$10 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:59,AST 0010,The Cambridge guide to the Solar System,50$,9/4/2017,,,,,,,,,,,,,,
5/9/2017 14:17,ASTRO 0010,The Life and Death of Stars,$10 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 14:37,COMP 0011,Problem Solving with C++,$50 ,9/4/2017,,,,,,,,,,,,,,
5/3/2017 14:20,CD 0062,The Anthropology of Childhood,$15 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:49,MATH 0042,Multivariable Calculus,$50 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:53,MATH 0042,Solutions Manual,25,9/4/2017,,,,,,,,,,,,,,
5/11/2017 14:51,MATH 0034/42,Student's Solutions Manual,8,9/4/2017,,,,,,,,,,,,,,
5/8/2017 12:32,MATH 0042,Multivariable Calculus,75,9/4/2017,,,,,,,,,,,,,,
5/2/2017 16:11,FR 0001,Promenades,$25 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:54,BIO 0013/14,Biological Science,$110 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,PHSY 0011,Physics for Scientists and Engineers with Modern Physics,30,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:57,SOC 0020,Promises I can keep,$10 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 13:02,CHEM 0052/54,Macroscale and Microscale Organic Experiments,$40 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:49,ES 0007,Thermodynamics,$15 ,9/4/2017,,,,,,,,,,,,,,
5/5/2017 12:16,ES 0005,Engineering Mechanics: Statics and Dynamics,$40 ,9/4/2017,,,,,,,,,,,,,,
5/9/2017 14:55,ENG 0001,Rules for Writers,$5 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:11,CHEM 0001/0002,Chemistry The Central Science Solutions Guide,$10 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 12:49,Chem 0001,Chemistry the Central Science Solutions,$20 ,9/4/2017,,,,,,,,,,,,,,
4/6/2017 18:34,SPN 0022,Composition and Conversation 2,$15 ,9/4/2017,,,,,,,,,,,,,,
5/7/2017 12:44,SPN 0021/22,The Ultimate Spanish Review and Practice ,5,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:43,FAH 0001,Art History (4books),$80 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,EC 0005,Economics,20,9/4/2017,,,,,,,,,,,,,,
5/9/2017 19:12,COMP 0061/MATH 0061,A Discrete Transition to Advanced Mathematics ,$25 ,9/4/2017,,,,,,,,,,,,,,
4/6/2017 18:30,ENG 0002,Rules for Writers,$20 ,9/4/2017,,,,,,,,,,,,,,
5/9/2017 12:35,SOC 0001,Mapping the Social Landscape,$30 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 14:01,HIST 0053 Europe to 1815,Aspects of Western Civilization Volume 1,$35 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 14:06,CHEM 0011,General Chemistry,$45.00 ,9/4/2017,,,,,,,,,,,,,,
5/9/2017 14:07,Eng 0001-0004,Rules for Writers,10,9/4/2017,,,,,,,,,,,,,,
5/4/2017 12:58,ENG 0001,Rules for Writers,8,9/4/2017,,,,,,,,,,,,,,
5/10/2017 19:36,ENG 0001,Writers Presence,$25 ,9/4/2017,,,,,,,,,,,,,,
5/1/2017 16:39,MATH 0042,"Calculus (Multivariable) - Briggs, Cochran",$30 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 12:18,CD 0001,Child Development,$60 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 12:48,CEE 0156,Statistics Using Stata,$40 ,9/4/2017,,,,,,,,,,,,,,
5/4/2017 13:17,CHEM 0001/02,Student Lab Notebook (74/100 unused pages),$15 ,9/4/2017,,,,,,,,,,,,,,
5/6/2017 13:32,EC 0005,Economics,$50 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 14:34,EC 0005,Economics (Hubbard and O'Brien),$35 ,9/4/2017,,,,,,,,,,,,,,
5/3/2017 14:38,SPN 0021/22,The Ultimate Spanish Review and Practice,$15 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:55,CHEM 0001/2,solutions manual red exercises,25,9/4/2017,,,,,,,,,,,,,,
5/6/2017 11:14,MATH 0032/34/42,Multivariable Calculus (Early Transcendentals),$100 ,9/4/2017,,,,,,,,,,,,,,
5/9/2017 12:15,SPN 0021/22,Ultimate Spanish Review and Practice,15,9/4/2017,,,,,,,,,,,,,,
5/11/2017 14:45,CHNS 0003,NPCR Book 2,$10 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,HIST 0076,The Literature of Ancient Egypt,15,9/4/2017,,,,,,,,,,,,,,
9/4/2017,HIST 0076,The Art of Ancient Egypt,15,9/4/2017,,,,,,,,,,,,,,
9/4/2017,PHYS 0011,Physics for Scientists and Engineers with Modern Physics,20,9/4/2017,,,,,,,,,,,,,,
5/10/2017 13:52,ENG 0001,Rules for Writers,$5 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,FR 0003,Bravo!,50,9/5/2017,,,,,,,,,,,,,,
5/12/2017 14:09,FR 0001/0002,Promenades ,$40.00 ,9/5/2017,,,,,,,,,,,,,,
5/10/2017 12:09,Chem 0001/0002,Chemistry The Central Science,$20 ,9/5/2017,,,,,,,,,,,,,,
5/10/2017 13:35,CHEM 0001/002,Chemistry The Central Science Solutions to Red Exercises,$10.00 ,9/5/2017,,,,,,,,,,,,,,
5/10/2017 14:43,CHEM 0001,Chemistry The Central Science twelfth edition,$65 ,9/5/2017,,,,,,,,,,,,,,
5/5/2017 22:56,CHEM 0011,General Chemistry Principle and Modern Applications,$50.00 ,9/5/2017,,,,,,,,,,,,,,
9/5/2017,FR 0021,La Grammaire a l'oeuvre,10,9/5/2017,,,,,,,,,,,,,,
5/10/2017 14:37,CHEM 0001/2,Chemistry: The Central Science,$80 ,9/5/2017,,,,,,,,,,,,,,
9/4/2017,PSY 0001,Psychological Science,49,9/5/2017,,,,,,,,,,,,,,
5/7/2017 12:47,SPN 0022,Composition and Conversation II,$5 ,9/5/2017,,,,,,,,,,,,,,
5/8/2017 12:22,SPN 0022,Vistas y voces latinas ,5,9/5/2017,,,,,,,,,,,,,,
5/2/2017 13:24,COMP 0011,Problem Solving with C++,$60 ,9/5/2017,,,,,,,,,,,,,,
5/1/2017 12:09,EC 0011,Microeconomics,$10 ,9/5/2017,,,,,,,,,,,,,,
5/9/2017 12:22,CHEM 0001,Chemistry: The Central Science,$150 ,9/5/2017,,,,,,,,,,,,,,
5/3/2017 14:44,COMP 0040,C Interfaces and Implementations,$20 ,9/5/2017,,,,,,,,,,,,,,
9/4/2017,MATH 0032,Calculus Early Transcendentals,30,9/5/2017,,,,,,,,,,,,,,
5/1/2017 12:06,EC 0011,Microeconomics,$10 ,9/5/2017,,,,,,,,,,,,,,
5/8/2017 12:26,SPN 0022,Composition and Conversation II,5,9/5/2017,,,,,,,,,,,,,,
9/4/2017,ITAL 0001,Piazza with access code,40,9/5/2017,,,,,,,,,,,,,,
5/6/2017 11:19,CHEM,Student Lab Notebook,$15 ,9/5/2017,,,,,,,,,,,,,,
4/7/2017 22:48,ENG 0001,"They Say, I Say (with readings)",$25 ,9/5/2017,,,,,,,,,,,,,,
5/8/2017 14:06,COMP 0061,A Discrete Transition to Advanced Mathematics,$35 ,9/5/2017,,,,,,,,,,,,,,
5/12/2017 12:06,SPN 0022,Spanish 22 Composition and Conversation II,5,9/5/2017,,,,,,,,,,,,,,
9/4/2017 12:06,PHIL 0001,Confessions of Saint Augustine,$7 ,9/5/2017,,,,,,,,,,,,,,
5/5/2017 13:19,RUS 0080,The Russian Cinema Reader,$7 ,9/5/2017,,,,,,,,,,,,,,
5/6/2017 13:50,CD 0001,Child Development (paper back),$50 ,9/5/2017,,,,,,,,,,,,,,
4/10/2017 20:56,CHEM 0011,General Chemistry Principles and Modern Applications,$50 ,9/5/2017,,,,,,,,,,,,,,
5/5/2017 13:20,RUS 0080,The Russian Cinema Reader 2,$8 ,9/5/2017,,,,,,,,,,,,,,
5/4/2017 13:16,MATH 0135,Advanced Calculus,$60 ,9/5/2017,,,,,,,,,,,,,,
5/11/2017 14:46,CHNS 0003/4,NPCR Book3,$10 ,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0004,Atando Cabos,4,9/5/2017,,,,,,,,,,,,,,
9/5/2017,MATH 0032,Calculus Early Transcendentals,50,9/5/2017,,,,,,,,,,,,,,
9/4/2017,HIST 0066,Lazarillo de Tormes and The Swindler,5,9/5/2017,,,,,,,,,,,,,,
9/4/2017,HIST 0066,Early Modern Spain,10,9/5/2017,,,,,,,,,,,,,,
9/5/2017,ENG 0001,Rules For Writers 8th Edition,25,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,Ultimate Spanish Review and Practice,7,9/5/2017,,,,,,,,,,,,,,
5/11/2017 12:34,MATH 0032/34/42,Calculus,50,9/5/2017,,,,,,,,,,,,,,
5/4/2017 14:27,Chem 0001,Molecular Modeling Kit,$10 ,9/6/2017,,,,,,,,,,,,,,
5/10/2017 13:00,CHEM 0051/53,Organic Chemistry Solutions Manual,$25 ,9/6/2017,,,,,,,,,,,,,,
9/4/2017,COMP 0011,Problem Solving with C++,25,9/6/2017,,,,,,,,,,,,,,
9/6/2017,SPN 0003,El Ultimo Sol: Novel,13,9/6/2017,,,,,,,,,,,,,,
5/9/2017 12:38,AST 0009,The Cosmic Perspective,$15 ,9/6/2017,,,,,,,,,,,,,,
