Timestamp,class,textbookTitle,edition,price
5/8/2017 0:24,SPN 0002,Hoy Dia,2,$40.00 
5/8/2017 12:11,SPN 0002,Hoy Día Volume 2,n/a,$20.00 
5/11/2017 13:20,FAH 0001/REL4,Art History - with ArtsLab code (3rd textbook),5th,$30.00 
5/8/2017 12:04,FAH 0021,Late Antique and Medieval Art of the Mediterranean World,n/a,$25.00 
5/10/2017 14:17,FAH 0020,Graphic Design: The New Basics,,$15.00 
5/6/2017 12:21,PHIL 0001,An Enquiry Concerning Human Understanding,,$5.00 
5/11/2017 12:55,PHIL 0001,Beyond Machiavelli,,$5.00 
5/11/2017 13:03,PHIL 0001,Philosophy through Film,3rd,$10.00 
5/6/2017 12:19,PHIL 0001,The Republic of Plato,,$10.00 
5/11/2017 13:02,PHIL 0001,What Does it All Mean?,,$8.00 
5/7/2017 14:44,PHIL 0006,Understanding Arguments: An Introduction to Formal Logic,Ninth,$40.00 
5/10/2017 14:02,PS 0188: Gender Issues in World Politics,A Woman in Berlin,,$4.00 
5/3/2017 14:42,PS 0170,Rewiring Regional Security,NA,$15.00 
5/10/2017 14:38,PHY 0001/2,Physics,4th,$180.00 
5/10/2017 14:39,PHY 0031,Using and Interpreting Statistics ,2nd,$30.00 
5/11/2017 14:38,PHY 0001/PHY 0002,Student Study Guide and Selected Solutions Manual,4,$10.00 
5/9/2017 13:02,ASTR 0009,The Cosmic Perspective ,7th,$40.00 
5/28/2017 19:20,ED 0165,Educating Women and Girls,,$5.00 
5/28/2017 19:27,ED 0166,Masculinities in Urban Schooling,Fall 2013,$5.00 
5/9/2017 12:09,ED 0001- School and Society,Common Ground,,$5.00 
5/9/2017 12:58,ED 0001,Death at an Early Age ,,$5.00 
5/9/2017 12:07,ED 0001- School and Society,The Prize,,$6.00 
5/9/2017 12:08,ED 0001- School and Society,"""Why Are All the Black Kids Sitting Together in the Cafeteria?""",,$5.00 
5/9/2017 12:10,ED 0001- School and Society,Improbable Scholars,,$5.00 
5/6/2017 12:52,ANTH 0040,The past in perspective,6th,$20.00 
5/9/2017 23:42,ANTH 0125,Pipe Politics Contested Waters,,$20.00 
5/5/2017 12:13,ANTH 0020,"Pipe Politics, Contested Waters",,$12.00 
5/7/2017 12:51,CH 0001,Public Health 101: Healthy People-Healthy Populations,Enhanced 2nd edition,$30.00 
4/14/2017 13:49,CH 0001,Public Health 101 Healthy People - Healthy Populations,2nd,$35.00 
5/4/2017 12:54,CH 0056,Global Health 101,third ,$60.00 
5/8/2017 10:47,SOC 0001,Gang Leader for a Day,,$5.00 
5/8/2017 13:32,SOC 0010,Century of Difference,,$12.00 
5/8/2017 10:46,SOC 0001,Unequal Childhoods,,$8.00 
